timestamp, index, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%]
2026/03/27 11:37:54.022, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:37:54.024, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:37:54.025, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21074 MiB, 0 %
2026/03/27 11:37:54.027, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:37:55.028, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 7560 MiB, 0 %
2026/03/27 11:37:55.028, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 27677 MiB, 100 %
2026/03/27 11:37:55.028, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21991 MiB, 100 %
2026/03/27 11:37:55.028, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:37:55.028, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:37:55.028, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:37:55.028, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 42576 MiB, 8 %
2026/03/27 11:37:55.028, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:37:56.029, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 7560 MiB, 0 %
2026/03/27 11:37:56.029, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 27677 MiB, 100 %
2026/03/27 11:37:56.029, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21991 MiB, 100 %
2026/03/27 11:37:56.029, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:37:56.035, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:37:56.036, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:37:56.036, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 47800 MiB, 0 %
2026/03/27 11:37:56.036, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:37:57.036, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 7560 MiB, 0 %
2026/03/27 11:37:57.036, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 27677 MiB, 100 %
2026/03/27 11:37:57.037, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21991 MiB, 100 %
2026/03/27 11:37:57.037, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:37:57.037, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:37:57.037, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:37:57.037, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:37:57.037, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:37:58.037, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 7746 MiB, 0 %
2026/03/27 11:37:58.114, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 27677 MiB, 100 %
2026/03/27 11:37:58.115, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21991 MiB, 100 %
2026/03/27 11:37:58.115, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:37:58.115, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:37:58.115, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:37:58.115, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 100 %
2026/03/27 11:37:58.115, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:37:59.115, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 7808 MiB, 0 %
2026/03/27 11:37:59.203, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 27677 MiB, 100 %
2026/03/27 11:37:59.203, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21991 MiB, 100 %
2026/03/27 11:37:59.203, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 98 %
2026/03/27 11:37:59.203, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:37:59.515, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:37:59.516, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:37:59.519, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:38:00.520, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 15890 MiB, 84 %
2026/03/27 11:38:00.521, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 27677 MiB, 100 %
2026/03/27 11:38:00.521, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21991 MiB, 100 %
2026/03/27 11:38:00.521, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:38:00.521, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:38:00.521, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:38:00.521, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 0 %
2026/03/27 11:38:00.521, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:38:01.521, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 15890 MiB, 84 %
2026/03/27 11:38:01.521, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 27677 MiB, 100 %
2026/03/27 11:38:01.522, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21991 MiB, 100 %
2026/03/27 11:38:01.522, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:38:01.745, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:38:01.745, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:38:01.745, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 14 %
2026/03/27 11:38:01.745, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:38:02.745, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 15890 MiB, 2 %
2026/03/27 11:38:02.746, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 27895 MiB, 100 %
2026/03/27 11:38:02.746, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21991 MiB, 100 %
2026/03/27 11:38:02.746, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:38:02.746, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:38:02.746, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:38:02.746, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 14 %
2026/03/27 11:38:02.746, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:38:03.746, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 15890 MiB, 0 %
2026/03/27 11:38:03.887, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 28963 MiB, 100 %
2026/03/27 11:38:03.888, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21991 MiB, 100 %
2026/03/27 11:38:03.888, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:38:03.888, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:38:03.888, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:38:03.888, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 14 %
2026/03/27 11:38:03.888, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:38:04.888, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 15890 MiB, 6 %
2026/03/27 11:38:04.888, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 28963 MiB, 100 %
